Date,Open,High,Low,Close,Volume,Price
01/08/2017,6372.160156,6375.75,6345.75,6362.939941,1812590000,6362.939941
02/08/2017,6393.100098,6394.209961,6313.430176,6362.649902,2104130000,6362.649902
03/08/2017,6366.240234,6368.529785,6331.140137,6340.339844,2113440000,6340.339844
04/08/2017,6350.790039,6361.490234,6329.72998,6351.560059,1907170000,6351.560059
07/08/2017,6361.060059,6386.029785,6356.22998,6383.77002,1701550000,6383.77002
08/08/2017,6373.330078,6423.350098,6355.879883,6370.459961,1914670000,6370.459961
09/08/2017,6322.919922,6355.040039,6309.439941,6352.330078,2033760000,6352.330078
10/08/2017,6312.649902,6318.279785,6214.410156,6216.870117,2204700000,6216.870117
11/08/2017,6222.180176,6266.890137,6216.189941,6256.560059,1794850000,6256.560059
14/08/2017,6306.109863,6346.830078,6305.549805,6340.22998,1698560000,6340.22998
15/08/2017,6350.509766,6350.740234,6324.75,6333.009766,1580060000,6333.009766
16/08/2017,6348.109863,6374.560059,6330.27002,6345.109863,1804730000,6345.109863
17/08/2017,6322.720215,6334.22998,6221.910156,6221.910156,2041220000,6221.910156
18/08/2017,6222.459961,6254.220215,6193.379883,6216.529785,1964590000,6216.529785
21/08/2017,6216.319824,6226.930176,6177.189941,6213.129883,1576070000,6213.129883
22/08/2017,6241.209961,6302.839844,6241.209961,6297.47998,1597700000,6297.47998
23/08/2017,6263.470215,6291.299805,6263.290039,6278.410156,1533220000,6278.410156
24/08/2017,6294.819824,6302.850098,6244.569824,6271.330078,1616780000,6271.330078
25/08/2017,6293.810059,6308.720215,6257.100098,6265.640137,1442900000,6265.640137
28/08/2017,6286.009766,6292.259766,6267.850098,6283.02002,1558690000,6283.02002
29/08/2017,6228.899902,6311.259766,6228.72998,6301.890137,1637640000,6301.890137
30/08/2017,6308.680176,6374.470215,6303.569824,6368.310059,1712070000,6368.310059
